IKIDEN	Country	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	prod10	prod11	prod12	prod13	prod14	prod15	prod16	prod17	prod18	prod19	prod20	prod21	prod22	prod23	prod24	prod25	prod26	prod27	prod28	prod29	prod30	Who	Frequence	When	Taste	Healthy	Pleasure	No preparation	Ways	Guest	Authentic	Not expensive	Supermarket	Deli	Caterer	Fish shop	Market	Mobile van	Everyday	Special	Day snack	Evening snack	Aperitif	Starter	Salad	Cooked meal	Sandwich	Main	Vegetable	Lemon	Bread, butter	Lemon, bread, butter	C. fraîche	C. fraîche with herbs	Fresh cheese	Fresh cheese with herbs	Shallots	Mustard	Butter	Black pepper	Horseradish	Scottish	Norwegian	Atlantic	Irish	Wild	Do not know	Colour	Price	Origin	Brand	Advertising	Glossiness	Packaging	Labelling information	Number slices	Weight	Use by date	Usual brand	Appetising	Firm	Regular	Nice colour	Nice odour	Smooth texture	Firm texture	Greasy mouth	Characteristic taste	Not too salty 
105	F	-0,0989	1,3839	-0,0989	1,3839	0,8897	1,3839	-1,5817	0,3954	0,8897	-0,0989	-1,5817	-0,0989	-0,0989	-0,5931	0,8897	-1,5817	0,8897	-0,0989	1,3839	-2,5702	-1,0874	0,3954	-0,0989	0,3954	-0,5931	0,8897	-0,5931	-0,5931	-0,5931	0,8897	Both	Once a month	All year round	Most. Agree	Neither	Comp. Agree	Neither	Comp. Agree	Most. Agree	Neither	Most. Disa.	Yes	No	No	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	No
109	F	-1,8602	-0,1298	1,168	0,3028	0,3028	0,7354	-0,995	0,3028	-0,995	-1,4276	0,7354	1,168	1,168	-1,4276	-0,995	0,7354	0,7354	0,7354	-0,5624	-1,4276	-1,4276	1,168	-0,5624	-0,5624	-0,1298	0,7354	1,168	0,7354	-0,995	1,6006	Adults	Once a month	All year round	Comp. Agree	Most. Agree	Most. Agree	Most. Agree	Neither	Most. Agree	Neither	Comp. Disa.	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	Yes	No	Yes	No	Yes	No	No	No	No
133	F	0,9272	0,9272	-1,9016	0,9272	-2,373	0,9272	-1,4301	0,4557	0,4557	0,9272	-0,4872	-0,9586	0,4557	-1,4301	-0,4872	0,9272	-0,0157	0,9272	0,4557	-1,9016	0,9272	0,4557	-0,0157	0,4557	0,4557	0,9272	0,4557	-0,0157	0,4557	-1,4301	Both	5 to 6 times a year	Special celebration	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Most. Agree	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes	No	Yes
138	F	1,1298	-1,4445	-0,1573	1,1298	1,5589	-0,1573	-1,4445	0,2717	1,1298	-1,8735	0,7008	0,2717	-0,5864	-1,0154	0,2717	0,7008	1,5589	-0,1573	0,7008	-1,8735	-1,4445	1,1298	0,7008	-0,5864	-1,0154	0,2717	0,7008	-0,5864	-0,5864	0,7008	Both	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Most. Agree	Neither	Comp. Agree	Comp. Agree	Most. Agree	Neither	Yes	No	No	No	No	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	Yes	No	No	No	Yes	No
149	F	-1,2267	1,4019	0,0876	0,7448	-1,2267	0,0876	0,7448	-0,5695	1,4019	1,4019	-1,2267	0,0876	-0,5695	0,7448	-0,5695	-0,5695	0,0876	-0,5695	0,7448	1,4019	-1,8839	-1,2267	1,4019	-1,8839	0,7448	0,0876	0,0876	-1,2267	0,7448	0,7448	Both	5 to 6 times a year	All year round	Comp. Agree	Most. Agree	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Disa.	Yes	No	Yes	No	No	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	Yes	Yes	No
150	F	1,1297	-1,2076	-1,2076	0,5454	-0,6233	1,1297	1,1297	1,1297	-1,2076	-0,039	0,5454	1,1297	-1,2076	-0,039	0,5454	1,1297	0,5454	-0,039	1,1297	-1,2076	-0,039	-0,6233	1,1297	-1,2076	1,1297	-1,2076	-1,2076	-1,7919	-0,6233	1,1297	Both	Once a month	Only the winter	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Neither	Neither	Yes	No	Yes	No	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	No	No	No	Yes	No	No	Yes
151	F	1,1215	0,5098	1,7333	0,5098	0,5098	1,1215	-0,102	-0,102	1,1215	0,5098	-1,3254	-0,102	-0,7137	-0,7137	-0,7137	1,1215	1,7333	1,1215	-1,3254	0,5098	0,5098	-0,102	-0,7137	-0,7137	-0,7137	-0,102	-1,3254	0,5098	-1,9372	-1,9372	Both	Once a week or more	All year round	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Yes	No	Yes	No	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes
160	F	-0,0859	1,6312	-0,0859	-0,0859	-0,0859	0,7727	1,6312	0,7727	0,7727	-0,9444	0,7727	-0,9444	0,7727	-0,0859	-0,0859	0,7727	1,6312	-0,9444	1,6312	0,7727	-0,9444	-0,0859	-0,9444	-0,0859	-0,9444	-0,0859	-1,8029	-1,8029	-1,8029	-0,0859	Both	Once every 2 weeks	All year round	Comp. Agree	Comp. Agree	Comp. Disa.	Comp. Disa.	Comp. Agree	Comp. Agree	Most. Agree	Neither	Yes	No	No	No	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	Yes	No
161	F	-0,7175	0,1794	-0,7175	1,0762	-1,1659	0,6278	0,6278	-0,7175	-1,6143	-0,7175	0,6278	-0,269	1,0762	0,1794	1,5246	-1,1659	1,0762	-1,6143	0,6278	-0,7175	1,0762	1,5246	-0,269	0,6278	1,5246	1,0762	-1,1659	-0,269	-1,6143	-0,7175	Both	Once a month	All year round	Comp. Agree	Most. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Neither	Most. Disa.	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	Yes
162	F	-0,8607	1,291	0,4303	1,291	0,8607	-1,291	0,8607	0,8607	0,4303	-0,8607	0,8607	-1,7213	0	0,4303	0,4303	-1,7213	0	1,291	1,291	-0,8607	-1,7213	-0,8607	0,8607	0,4303	-0,4303	1,291	-0,8607	-0,8607	-1,291	0,4303	Adults	5 to 6 times a year	Special celebration	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	Yes
163	F	0,1857	1,4237	-1,6713	-1,0523	0,8047	-1,0523	0,1857	-1,0523	-1,0523	-1,0523	-1,0523	1,4237	0,8047	-0,4333	0,1857	0,1857	0,8047	1,4237	0,1857	-1,0523	-0,4333	0,1857	-0,4333	-0,4333	2,0426	1,4237	0,1857	1,4237	-1,0523	-1,0523	Both	5 to 6 times a year	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Most. Agree	Neither	Neither	Neither	Yes	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	No	No	No	No	No	No	Yes	Yes	No	No	No	Yes	No	No	No	No	Yes
170	F	0,4905	0,4905	-1,8088	1,8701	0,0307	0,0307	-0,4292	0,4905	-0,8891	0,9504	0,9504	-1,8088	0,9504	0,4905	0,4905	0,0307	-0,4292	0,9504	0,0307	0,4905	-1,8088	-0,8891	0,0307	-1,8088	1,4102	0,4905	1,4102	-0,4292	-0,4292	-1,3489	Adults	Once a week or more	All year round	Comp. Agree	Comp. Agree	Most. Disa.	Comp. Disa.	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Disa.	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	Yes	No	No
171	F	0,3123	1,4837	-0,0781	1,4837	-0,4685	-0,4685	0,3123	0,3123	1,0932	-0,859	1,0932	-0,859	-0,859	1,4837	1,0932	-1,6398	1,4837	-0,859	-0,4685	-1,2494	-1,6398	0,7028	-0,4685	0,7028	-0,859	-0,859	1,4837	-1,2494	0,3123	-0,4685	Adults	Once a week or more	All year round	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No
172	F	1,2664	0,3725	-0,5215	0,8194	-0,0745	-0,9684	-0,0745	-1,4154	-1,8624	0,3725	-1,4154	1,7134	-0,9684	1,2664	-0,5215	-1,8624	1,2664	-0,9684	0,8194	0,3725	1,7134	-0,5215	-0,5215	0,8194	0,8194	0,3725	0,8194	-0,0745	-0,5215	-0,5215	Both	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Comp. Agree	Neither	Neither	Comp. Agree	Comp. Agree	Neither	Yes	No	Yes	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	No	Yes
173	F	0,4331	-1,4775	-1,4775	0,8152	-0,7133	-1,0954	-1,4775	0,8152	1,1973	0,8152	0,8152	1,1973	-1,0954	0,8152	0,4331	0,8152	0,8152	-1,4775	0,8152	-1,0954	0,8152	-1,0954	-1,0954	1,1973	-0,7133	0,4331	0,8152	1,1973	-0,3312	-1,0954	Both	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Most. Agree	Yes	No	Yes	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	No	Yes
174	F	1,6336	-0,4372	-1,8177	-0,4372	-0,4372	0,2531	-1,1274	0,9433	0,2531	-0,4372	0,9433	-0,4372	0,9433	1,6336	0,2531	-1,8177	0,2531	-1,8177	-1,1274	0,2531	0,2531	0,2531	0,2531	0,9433	-1,1274	1,6336	0,9433	0,9433	-0,4372	-1,1274	Both	Once a week or more	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Most. Agree	Most. Agree	Most. Disa.	Neither	Yes	Yes	No	No	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No
179	F	1,4779	1,0748	0,6718	-0,9405	-0,9405	-0,9405	-0,5374	-0,9405	-0,9405	-1,3435	1,4779	-1,3435	-0,5374	1,4779	-1,3435	1,4779	-0,5374	-0,9405	-0,1344	0,2687	1,4779	0,6718	-0,5374	-0,1344	-0,5374	0,6718	1,0748	0,2687	-0,9405	1,4779	Both	5 to 6 times a year	Special celebration	Comp. Agree	Neither	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Neither	Yes	No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No	Yes	No	Yes	No	No	No	Yes
183	F	-0,0582	-0,0582	-0,6397	-0,0582	0,5234	-0,0582	-1,2213	1,105	0,5234	-0,6397	-0,0582	-0,0582	0,5234	1,105	0,5234	-0,0582	1,6865	-1,2213	1,6865	-0,0582	-1,8029	-1,2213	-0,6397	0,5234	1,105	-0,6397	-0,0582	2,2681	-1,8029	-1,2213	Both	Once a month	All year round	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Neither	Comp. Agree	Most. Agree	Neither	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes
184	F	0,1403	2,0532	-0,2423	-0,6249	-1,0075	-1,0075	1,288	-0,6249	-0,2423	-0,6249	-0,6249	0,1403	-1,0075	-0,6249	-1,0075	1,288	0,5229	1,288	-1,0075	-1,0075	-1,0075	1,6706	0,1403	0,1403	-1,0075	0,9054	1,6706	-1,0075	1,6706	-0,2423	Both	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Most. Agree	Yes	No	No	No	No	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes
185	F	1,1063	-1,1984	-1,6594	1,1063	0,6453	-0,2766	0,6453	-1,1984	1,1063	-0,2766	0,6453	0,6453	-0,2766	0,6453	1,1063	-1,1984	1,1063	0,6453	1,1063	0,1844	-2,1203	-0,2766	0,1844	1,1063	-0,2766	-2,1203	0,1844	-0,7375	0,6453	-1,1984	Both	Once a month	All year round	Comp. Agree	Neither	Most. Agree	Most. Agree	Most. Agree	Comp. Agree	Neither	Comp. Disa.	Yes	No	No	No	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	No	Yes	No
186	F	0,2358	0,2358	-0,7749	0,2358	-0,7749	-0,7749	0,2358	0,2358	0,2358	-0,7749	0,2358	-0,7749	0,2358	1,2466	1,2466	1,2466	0,2358	-1,7856	-1,7856	-1,7856	1,2466	-0,7749	-1,7856	1,2466	1,2466	0,2358	-0,7749	1,2466	0,2358	1,2466	Both	Once a month	All year round	Most. Agree	Most. Disa.	Most. Agree	Neither	Most. Agree	Most. Agree	Most. Disa.	Neither	Yes	No	No	No	No	No	Yes	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	Yes
187	F	1,0085	-0,2181	0,1908	1,0085	1,0085	-0,6269	-1,0358	-1,0358	0,5997	-1,4446	-0,2181	0,5997	-0,2181	-1,4446	0,5997	-1,4446	1,0085	-1,4446	-1,4446	-0,6269	1,0085	1,8262	-0,2181	0,1908	0,5997	-1,4446	1,4174	0,5997	1,4174	-0,2181	Adults	5 to 6 times a year	Special celebration	Most. Agree	Most. Agree	Neither	Neither	Comp. Agree	Most. Agree	Most. Disa.	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No	No	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	Yes	No	No
188	F	-1,2489	0,5352	0,5352	-0,3568	-0,8028	0,9813	-0,8028	0,9813	0,9813	0,5352	-0,8028	-0,3568	0,9813	-0,8028	-1,2489	0,5352	1,4273	-0,8028	1,4273	-1,6949	-0,3568	1,4273	-0,8028	0,5352	1,8733	0,9813	-0,8028	-1,2489	-1,2489	-0,3568	Adults	5 to 6 times a year	Special celebration	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Comp. Disa.	Yes	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	No	No	Yes	No	No
189	F	0,8452	-1,1832	-0,6761	-0,6761	-0,6761	0,8452	-1,1832	1,3522	1,8593	-0,6761	-0,169	0,8452	0,3381	0,3381	-0,169	1,8593	0,8452	-0,169	-0,6761	1,3522	-1,1832	-1,1832	-1,1832	-0,6761	-0,169	-1,1832	1,8593	-1,1832	0,3381	0,3381	Adults	Once a month	All year round	Comp. Agree	Neither	Comp. Agree	Comp. Agree	Comp. Agree	Comp. Agree	Most. Agree	Most. Disa.	Yes	No	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	Yes
191	F	0,438	-0,5727	0,438	1,4487	0,438	0,438	-0,5727	-0,5727	-0,5727	-0,5727	0,438	1,4487	0,438	-1,5835	0,438	-1,5835	0,438	0,438	0,438	-0,5727	-0,5727	1,4487	-0,5727	-1,5835	-1,5835	1,4487	-0,5727	-1,5835	1,4487	1,4487	Both	Once every 2 weeks	All year round	Comp. Agree	Neither	Comp. Agree	Most. Agree	Most. Agree	Comp. Agree	Neither	Neither	Yes	No	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	No	Yes
192	F	-1,603	-0,4442	1,294	0,7146	-0,4442	1,294	0,1352	0,1352	1,294	-0,4442	-1,603	-0,4442	1,294	-1,0236	0,7146	-1,603	1,294	-0,4442	0,1352	-1,0236	-0,4442	0,7146	-0,4442	0,1352	-2,1824	1,294	1,294	-0,4442	0,7146	0,1352	Adults	5 to 6 times a year	Special celebration	Comp. Agree	Neither	Most. Agree	Most. Agree	Most. Agree	Most. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	No	No	No	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No
194	F	0,2353	1,1763	1,1763	1,6469	1,1763	-0,2353	-0,7058	0,2353	0,7058	-1,1763	0,7058	-1,1763	0,2353	-0,2353	-0,2353	-1,1763	0,2353	-1,1763	-0,7058	-1,6469	1,1763	0,7058	0,7058	-0,7058	-2,1174	1,1763	-1,1763	0,7058	1,1763	-0,7058	Both	Once every 2 weeks	Only the winter	Most. Agree	Comp. Agree	Most. Agree	Comp. Agree	Most. Agree	Most. Agree	Most. Disa.	Comp. Agree	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes
195	F	0,1595	-0,4386	-0,4386	0,7576	1,3557	0,7576	0,1595	0,1595	0,7576	0,7576	0,1595	0,7576	-2,2329	0,7576	-0,4386	0,1595	0,7576	-1,6348	-0,4386	0,1595	-2,831	-1,0367	0,7576	0,7576	0,7576	0,1595	-0,4386	-1,6348	0,1595	1,3557	Adults	5 to 6 times a year	Special celebration	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Most. Agree	Most. Agree	Most. Agree	Neither	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No
196	F	0,0838	0,0838	-0,7544	0,922	1,7602	0,0838	0,0838	0,0838	1,7602	0,922	-0,7544	0,922	-1,5926	0,0838	1,7602	0,0838	0,922	0,922	0,0838	0,0838	-1,5926	0,0838	-0,7544	-1,5926	-0,7544	-1,5926	0,0838	-1,5926	-0,7544	0,922	Adults	5 to 6 times a year	All year round	Comp. Agree	Most. Disa.	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Neither	Most. Disa.	Yes	No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	No	No	Yes	No	Yes	No	Yes	No	No	No
197	F	0,2282	1,2062	-1,7278	0,2282	0,2282	-0,7498	-0,7498	-0,7498	-0,7498	0,2282	-1,7278	0,2282	0,2282	1,2062	1,2062	-2,7057	1,2062	0,2282	1,2062	0,2282	-0,7498	0,2282	2,1841	-0,7498	0,2282	0,2282	0,2282	-0,7498	0,2282	0,2282	Both	Once a week or more	All year round	Comp. Agree	Neither	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Neither	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	Yes	No
198	F	0,3455	0,3455	-0,9503	0,3455	-0,9503	0,3455	0,3455	0,9934	-0,3024	-0,3024	0,9934	0,9934	0,3455	0,9934	-0,3024	0,9934	-0,9503	-3,5419	-0,3024	-0,3024	-1,5982	0,9934	0,3455	-0,9503	0,9934	0,9934	0,3455	0,9934	-0,3024	-0,9503	Both	Once a week or more	All year round	Comp. Agree	Neither	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Neither	Neither	Yes	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	No	No	No	Yes
202	F	-0,5517	0,0394	-0,5517	-1,7338	1,2216	0,6305	-2,3249	0,6305	-0,5517	0,0394	-0,5517	0,6305	0,0394	-0,5517	-0,5517	0,0394	0,0394	1,2216	-1,1428	-2,3249	0,0394	0,6305	1,2216	0,6305	1,8127	0,0394	1,2216	1,2216	0,0394	-0,5517	Both	Once a month	All year round	Comp. Agree	Most. Agree	Most. Agree	Most. Agree	Most. Agree	Comp. Agree	Most. Agree	Most. Agree	Yes	No	No	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	No
204	F	0,2374	0,8307	-0,9494	0,8307	0,2374	0,8307	0,2374	-0,356	-0,356	-1,5428	-0,9494	0,8307	0,8307	-2,1362	0,2374	0,8307	-0,356	1,4241	0,8307	0,2374	0,8307	0,2374	-2,7296	0,2374	-0,9494	0,8307	-0,356	-1,5428	0,8307	0,8307	Both	Once every 2 weeks	All year round	Comp. Agree	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Neither	Most. Agree	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	Yes	Yes
205	F	-1,5738	-1,2134	0,9491	0,5887	1,3095	1,3095	1,3095	-1,5738	-0,4925	0,2283	0,9491	0,2283	1,3095	0,2283	0,9491	-1,5738	0,5887	0,5887	-0,1321	-1,2134	0,2283	0,5887	-1,2134	0,9491	-0,4925	-0,1321	-0,8529	-1,2134	0,9491	-1,5738	Adults	5 to 6 times a year	All year round	Most. Agree	Most. Agree	Comp. Agree	Comp. Agree	Most. Agree	Comp. Agree	Neither	Neither	Yes	No	No	No	No	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	Yes	No	Yes
